/********** 初始化计算参数设置记录 ***********/
Workpiece :120 * 240
updie's velocity :(vx,vy) 0  10
The number of nodes:  91
The number of faces:  144
u0:  0.0001
uf:  0.1
Incritime: 0.24
strainv0: 0.0001
AlphaMF:  2.4e+007
steps: 80
————————————————————
Trimesh_vertexID   Tri_vertex_x_y   Tri_vertex_vx_vy   Tri_vertex_effstrain_effstress
step id: 1
50 43 44   20 140 20 120 40 120   0.436941 4.24002 0.434819 5.11089 0.868281 5.04419   0.0104617 49.485 0.0104228 49.4603 0.0104145 49.455 
56 50 57   0 160 20 140 20 160   0 3.41516 0.436941 4.24002 0.436595 3.36871   0.00971118 48.9938 0.0104617 49.485 0.0104287 49.464 
35 43 42   0 100 20 120 0 120   0 6.03094 0.434819 5.11089 0 5.16463   0.00989055 49.1141 0.0104228 49.4603 0.009534 48.8731 
70 63 64   0 200 0 180 20 180   0 1.6765 0 2.54131 0.43309 2.50313   0.00939095 48.7742 0.00951865 48.8625 0.0103163 49.3923 
71 77 70   20 200 0 220 0 200   0.426242 1.64971 0 0.827897 0 1.6765   0.0129154 50.902 0.00920185 48.6414 0.00939095 48.7742 
84 77 78   0 240 0 220 20 220   0 0 0 0.827897 0.416175 0.8142   0.00903066 48.5191 0.00920185 48.6414 0.00591066 45.8401 
64 63 57   20 180 0 180 20 160   0.43309 2.50313 0 2.54131 0.436595 3.36871   0.0103163 49.3923 0.00951865 48.8625 0.0104287 49.464 
64 57 58   20 180 20 160 40 160   0.43309 2.50313 0.436595 3.36871 0.867149 3.31077   0.0103163 49.3923 0.0104287 49.464 0.0103264 49.3988 
64 71 70   20 180 20 200 0 200   0.43309 2.50313 0.426242 1.64971 0 1.6765   0.0103163 49.3923 0.0129154 50.902 0.00939095 48.7742 
63 56 57   0 180 0 160 20 160   0 2.54131 0 3.41516 0.436595 3.36871   0.00951865 48.8625 0.00971118 48.9938 0.0104287 49.464 
50 51 57   20 140 40 140 20 160   0.436941 4.24002 0.870853 4.17576 0.436595 3.36871   0.0104617 49.485 0.011633 50.1937 0.0104287 49.464 
51 50 44   40 140 20 140 40 120   0.870853 4.17576 0.436941 4.24002 0.868281 5.04419   0.011633 50.1937 0.0104617 49.485 0.0104145 49.455 
44 37 38   40 120 40 100 60 100   0.868281 5.04419 0.861008 5.91029 1.29445 5.84492   0.0104145 49.455 0.0349703 58.1704 0.0103856 49.4366 
45 51 44   60 120 40 140 40 120   1.30189 4.97813 0.870853 4.17576 0.868281 5.04419   0.00766274 47.4629 0.011633 50.1937 0.0104145 49.455 
